Customer ID,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
232533,Jose,Gould,M,31/10/1958,128.67,07/10/2023,Sanders PLC,Cosmetic
555415,Meghan,Acosta,F,30/10/1962,50.21,20/03/2023,"Washington, Hinton and Sparks",Market
717993,Michael,Huang,M,21/10/1998,71.38,26/09/2023,"French, Wright and Tapia",Clothing
573771,Dana,Hunt,F,23/10/1991,331.08,30/06/2023,Torres LLC,Electronics
59223,Lisa,Ross,F,02/11/1949,711.74,07/07/2023,Diaz LLC,Travel
801291,Sydney,Spencer,,25/10/1980,1374.86,19/03/2023,Johnson LLC,Travel
858686,Brian,Mcintyre,F,20/10/2003,39.24,18/02/2023,Morales-Velasquez,Restaurant
652558,Melanie,Greene,F,22/10/1995,16.68,01/05/2023,Barnes-Walton,Cosmetic
39683,Anthony,Hoffman,M,25/10/1982,112.63,25/05/2023,Ellis-Zimmerman,Cosmetic
344613,Michelle,Kim,F,31/10/1957,185.8,07/05/2023,Nguyen-Bradley,Cosmetic
62730,Matthew,Aguilar,M,26/10/1978,58.11,31/03/2023,"Brooks, Reed and Adams",Restaurant
816425,Tammy,Williams,F,29/10/1966,66.45,23/06/2023,Cooper Inc,Restaurant
641954,Justin,Mathews,F,22/10/1995,2035.14,14/09/2023,"Beck, Morris and Murphy",Travel
904827,Matthew,Hobbs,F,30/10/1963,153.73,20/06/2023,"Blankenship, Atkinson and Howard",Travel
779830,Ann,Sullivan,F,01/11/1955,130.7,12/02/2023,Hester-Greer,Cosmetic
765738,Joshua,Burgess,F,21/10/1998,180.37,21/08/2023,Wilcox PLC,Market
805732,Sabrina,White,F,25/10/1980,2612.99,03/07/2023,"Woodard, Boyd and Mays",Travel
982485,Leslie,Campbell,,25/10/1982,139.2,04/08/2023,"White, Hensley and Hayes",Market
955318,Jeffery,Morgan,F,27/10/1972,235.47,18/06/2023,"Collins, Hill and Chapman",Clothing
738539,Mary,Pittman,,19/10/2005,52.71,26/09/2023,"Butler, Stewart and Peterson",Clothing
396758,Ashley,Carr,M,26/10/1976,12.26,10/06/2023,Howard-Miller,Restaurant
884080,Joseph,Meadows,F,25/10/1980,147.62,15/03/2023,"Jackson, Ramirez and Jones",Cosmetic
34415,Juan,Kelly,F,22/10/1995,2770.66,28/07/2023,Peterson LLC,Travel
164888,Christina,Ellis,F,20/10/2001,654.39,29/07/2023,Ward-Klein,Electronics
677049,Martha,Gonzales,M,02/11/1951,23.42,17/05/2023,Kelly-Jones,Clothing
289003,John,Woods,F,31/10/1957,1949.03,01/01/2023,Stephens-Shelton,Travel
385557,Keith,Clark,F,20/10/2003,47.85,17/04/2023,Smith Inc,Restaurant
665628,Alejandro,Reed,F,23/10/1990,40.42,20/08/2023,"Odonnell, Bright and Lewis",Clothing
95705,Amber,Taylor,F,29/10/1967,263.62,20/01/2023,Rogers and Sons,Clothing
697024,Michael,Hines,,30/10/1961,76.6,04/08/2023,Oconnor PLC,Cosmetic
273487,David,Morrison,F,20/10/2002,21.85,06/04/2023,Yu and Sons,Restaurant
828224,Jennifer,Quinn,M,02/11/1949,154.36,08/10/2023,Phillips Inc,Market
641695,Nicholas,Jones,F,20/10/2001,40.39,14/09/2023,"Mccormick, Adkins and Cobb",Restaurant
410859,Christy,Ramos,F,22/10/1995,50.69,02/10/2023,Rogers-Levy,Market
403963,Jamie,Collier,,28/10/1970,311.04,30/05/2023,Matthews PLC,Market
526718,Douglas,Martin,M,29/10/1967,1616.19,01/07/2023,"Jackson, Ray and Cooper",Travel
364086,Holly,Jackson,M,01/11/1952,839.12,23/03/2023,Carey Ltd,Electronics
178510,Kimberly,Klein,F,28/10/1969,287.34,18/08/2023,"Chang, Blevins and Miller",Market
143865,Fernando,Oliver,F,31/10/1956,246.62,02/08/2023,Patterson-Davenport,Market
946664,Yvonne,Silva,M,31/10/1958,168.28,26/01/2023,Rice-Ramos,Cosmetic
800246,Margaret,Carter,,21/10/1996,96.41,21/03/2023,"Miller, Foster and Reed",Cosmetic
884621,Charles,Glover,F,30/10/1963,344.34,20/07/2023,Kim and Sons,Electronics
420838,Aaron,Mckee,,27/10/1975,231.65,21/02/2023,Arnold-Blackburn,Market
59633,Derrick,Aguilar,M,29/10/1967,211.58,27/03/2023,Montgomery-Ruiz,Market
361536,Kurt,Dennis,M,28/10/1970,234.16,24/05/2023,"Davis, Griffin and Gates",Clothing
496809,Timothy,Collier,M,02/11/1950,10.51,28/09/2023,"Baker, Schaefer and Brown",Market
471552,Courtney,Johnson,M,25/10/1981,304.25,16/04/2023,Bryant-Sanchez,Electronics
450062,Joy,Padilla,F,02/11/1951,278.38,23/07/2023,Frost-Smith,Market
925651,Carol,Wilson,M,26/10/1976,159.44,18/05/2023,Arnold Ltd,Clothing
155186,Lawrence,Williams,F,19/10/2005,21.79,29/08/2023,Cook-Moore,Restaurant
838514,Andrew,Armstrong,M,19/10/2004,231.35,02/03/2023,Miller Inc,Clothing
981118,Anthony,Arnold,M,28/10/1971,2362.42,28/06/2023,"Thomas, Simpson and Tyler",Travel
658610,Nicole,Peterson,M,29/10/1965,395.33,20/03/2023,"Bryant, Mcbride and White",Market
463162,Stephanie,Miller,,31/10/1958,958.43,28/04/2023,Young and Sons,Electronics
707412,Derek,Thompson,F,24/10/1985,94.93,27/08/2023,"Fuller, Bowen and Davis",Restaurant
514027,Nicole,Kaufman,,29/10/1964,521.53,14/06/2023,Jackson and Sons,Electronics
370935,Hector,Saunders,M,29/10/1966,56.48,23/06/2023,"Waters, Morse and Gray",Market
986863,Jesse,Clark,F,27/10/1973,58.8,15/05/2023,"Richard, Hill and Cohen",Restaurant
67931,Rebecca,Gamble,,30/10/1963,313.71,31/01/2023,Dawson-Ellis,Market
908317,Catherine,Evans,M,25/10/1980,22.38,27/08/2023,"Green, Wilson and Henry",Restaurant
347539,Andres,Mckinney,M,29/10/1966,11.83,25/01/2023,Smith-Martinez,Restaurant
726123,Alexander,Li,,20/10/2000,202.12,12/06/2023,Patel LLC,Market
79597,Lindsay,Thompson,M,01/11/1955,246.7,22/05/2023,Moreno-Fernandez,Travel
95898,Raymond,Ayala,M,28/10/1969,58.75,05/05/2023,Webster and Sons,Restaurant
802243,Alison,Leon,F,27/10/1973,2128,28/05/2023,Hays-Leon,Travel
805206,Lisa,Chavez,F,02/11/1949,86.96,28/08/2023,Horton LLC,Cosmetic
140219,Michele,Anderson,F,24/10/1986,79,08/06/2023,"Brown, Jones and Perez",Cosmetic
796551,Patricia,Jordan,F,31/10/1956,141.06,12/05/2023,Bass Inc,Cosmetic
465123,Samuel,Cabrera,F,27/10/1972,95.21,26/05/2023,Fleming-Cantrell,Restaurant
428576,Jennifer,Tapia,F,25/10/1981,11.98,18/04/2023,Miller-Taylor,Restaurant
672487,Elizabeth,Johnson,M,30/10/1961,381.13,17/09/2023,Williams Inc,Market
471101,Christopher,Lewis,,25/10/1980,442.32,20/06/2023,Parker-Carey,Electronics
661557,Stephanie,Tran,F,29/10/1964,2311.32,10/10/2023,Roberts and Sons,Travel
354655,Diane,Hudson,F,19/10/2004,269.51,09/08/2023,Robertson-Golden,Clothing
41196,Michael,Williams,F,26/10/1978,1854.31,03/04/2023,"Valdez, Carter and Brown",Travel
202678,Joseph,Powell,F,29/10/1964,1270.81,21/02/2023,Potts-Wood,Travel
292008,Kelsey,Ibarra,F,20/10/2003,104.15,15/06/2023,Higgins Ltd,Clothing
313343,William,Willis,M,23/10/1988,996.09,24/06/2023,Jones and Sons,Electronics
918581,Carrie,Nguyen,,21/10/1998,230.32,14/05/2023,Harrison-Rose,Clothing
449817,Betty,Charles,F,26/10/1979,77.12,19/04/2023,"Moore, Thompson and Russell",Restaurant
147364,Shannon,Ruiz,M,30/10/1961,77.43,23/03/2023,Casey-Powers,Electronics
595276,Carolyn,Brown,M,27/10/1975,429.49,05/02/2023,"Hayes, Ross and Smith",Market
266510,Travis,Reed,,20/10/2003,537.66,24/03/2023,"Perkins, Jimenez and Hunter",Electronics
138959,Regina,Woods,,22/10/1994,2371.02,22/08/2023,Robinson-Mitchell,Travel
465981,Kimberly,Bennett,F,24/10/1987,1868.64,26/02/2023,"Ortiz, Carpenter and Collins",Travel
528337,Michael,Paul,M,30/10/1960,201.37,21/02/2023,Anderson Inc,Clothing
538549,Wayne,Madden,F,26/10/1979,149.98,22/07/2023,Stanley-Morris,Market
806417,Selena,Lewis,,24/10/1985,75.65,23/06/2023,Stone Group,Electronics
247945,Lisa,Morse,M,20/10/2000,134.33,02/01/2023,Vega-Jackson,Cosmetic
880747,Sarah,Mann,M,23/10/1991,2433.47,13/06/2023,Greene Inc,Travel
63966,Bianca,Bell,,25/10/1980,54.06,14/06/2023,Herring-Walsh,Clothing
269658,Michael,Reid,F,20/10/2002,83.38,24/02/2023,Holt and Sons,Clothing
998320,Brenda,Haas,M,30/10/1963,90.16,17/09/2023,Hill LLC,Restaurant
538301,Anita,Ramirez,,21/10/1997,274.8,14/07/2023,Brown Group,Clothing
664294,Ashley,Smith,M,19/10/2005,927.47,07/01/2023,Turner Group,Travel
949304,Deborah,Leonard,F,21/10/1997,66.11,14/01/2023,Nguyen-Booth,Clothing
71844,Christopher,Harmon,F,20/10/2003,144.23,04/01/2023,"Frazier, Edwards and Wall",Cosmetic
160904,Scott,Chase,M,28/10/1971,2163.17,10/04/2023,"Hudson, Fry and Moore",Travel
140041,Erika,Vazquez,F,29/10/1965,701.38,02/01/2023,Miller LLC,Electronics
760246,Joseph,Jones,F,25/10/1981,50.36,01/04/2023,"Jones, Sutton and Burton",Restaurant
954346,Patrick,Knight,M,01/11/1955,94.07,17/03/2023,Lewis Ltd,Cosmetic
603507,Scott,Daniels,M,30/10/1960,125.92,29/07/2023,"Kelly, Osborne and Moore",Clothing
428653,Shannon,Duke,F,20/10/2000,193.66,08/05/2023,"Wright, Christian and Moon",Clothing
483307,Joseph,Torres,F,20/10/2001,78.67,19/09/2023,Lang-Powell,Electronics
80027,Denise,Mathews,,31/10/1957,264.96,16/03/2023,Stone-Joseph,Market
524694,Michael,Yang,F,28/10/1968,974.83,03/03/2023,"Jones, Cortez and Weaver",Travel
779318,Robert,Mendoza,F,24/10/1985,13.91,14/02/2023,Shelton PLC,Restaurant
714392,Madison,Liu,F,22/10/1992,199.06,17/07/2023,Whitehead-Santos,Clothing
97841,Kristin,Richardson,,29/10/1966,624.17,15/05/2023,"Hart, Lynch and Gonzalez",Electronics
814720,James,Stewart,,23/10/1991,202.51,09/04/2023,"Anderson, Garcia and Beard",Market
713796,Mark,Anderson,M,28/10/1969,88.84,06/10/2023,Haney-Palmer,Cosmetic
999791,Kyle,Wade,F,25/10/1981,50.64,21/05/2023,Brown Ltd,Restaurant
514760,Harold,Smith,M,31/10/1956,212.61,05/10/2023,Melendez-Bennett,Clothing
671409,James,Parker,M,28/10/1971,1658.37,01/06/2023,"Hall, Wright and Jefferson",Travel
787275,Rebecca,Lopez,M,22/10/1995,53.81,06/02/2023,Nelson Inc,Market
416580,Sherri,Rich,M,28/10/1971,45.31,17/03/2023,"Wright, James and Smith",Cosmetic
584239,Christopher,Campbell,M,31/10/1958,73.39,26/05/2023,Johnson Inc,Restaurant
883989,Cameron,Nielsen,M,27/10/1974,45.99,11/07/2023,Evans LLC,Restaurant
810891,Chase,Garcia,F,23/10/1988,131.53,22/04/2023,Ingram-Lucas,Electronics
311624,Donald,Glass,M,24/10/1984,31.97,21/09/2023,Weiss Ltd,Clothing
173126,Michael,Williams,M,24/10/1985,288.53,17/02/2023,Mcmillan Inc,Clothing
820056,Christopher,Reynolds,M,22/10/1994,2774.08,10/10/2023,Hall and Sons,Travel
683369,Mark,Bailey,F,02/11/1948,306.21,08/06/2023,"Velasquez, Shah and Thomas",Market
269539,John,Davis,F,27/10/1972,214.52,07/04/2023,"Aguilar, Rodriguez and Cruz",Clothing
757732,Roger,Riley,F,30/10/1962,85.54,16/08/2023,Adkins-Weiss,Cosmetic
604713,Ashley,Campbell,F,30/10/1960,105.78,04/02/2023,"Levy, Nelson and Wilson",Clothing
77950,Jason,Jones,M,19/10/2004,424.61,21/09/2023,Campbell-Newman,Market
427939,Gwendolyn,Wiley,M,28/10/1969,136.61,07/03/2023,Wilson PLC,Clothing
152372,Richard,Williams,,26/10/1976,775.24,23/05/2023,Jones Group,Electronics
197007,Kathy,Maldonado,F,21/10/1999,273.92,17/06/2023,"Hernandez, Wiggins and Duncan",Clothing
308476,Sean,Reilly,F,20/10/2000,140.4,17/07/2023,Garcia Group,Clothing
805058,Kayla,Holt,M,25/10/1983,289.85,28/03/2023,Thornton-Ibarra,Electronics
212969,Amy,Powell,F,20/10/2001,209.17,08/04/2023,Guerrero-Delgado,Market
111995,Melissa,Turner,F,27/10/1973,73.27,04/09/2023,Reyes-Perkins,Restaurant
613364,Tina,Lucas,F,25/10/1982,284.62,19/06/2023,James-Bennett,Electronics
838364,Matthew,Moody,M,27/10/1972,866.42,17/07/2023,"Hill, Bell and Morris",Electronics
252520,Anthony,Armstrong,,19/10/2004,2720.55,13/02/2023,Proctor-Rodgers,Travel
358563,Richard,Lowery,M,24/10/1986,36.44,29/08/2023,"Robles, Jackson and Lang",Clothing
231013,Joan,Marquez,M,01/11/1953,529.08,14/04/2023,Mullen-Jones,Travel
311124,Jacqueline,Gonzalez,F,26/10/1977,524.45,03/09/2023,Downs-Donovan,Electronics
752844,Paul,Potter,M,24/10/1986,31.99,12/01/2023,Mejia-Farley,Clothing
872305,Kevin,Hensley,F,02/11/1950,123.18,02/01/2023,Chan-Myers,Clothing
696669,Jose,Green,,31/10/1956,10.02,06/05/2023,Reed-Warner,Cosmetic
455713,Erin,Baker,M,27/10/1974,59,12/04/2023,Fisher Group,Restaurant
985602,Kimberly,Gonzalez,M,02/11/1950,232.62,03/09/2023,"Orozco, Patterson and Robinson",Clothing
209862,Barbara,Collins,M,23/10/1990,173.02,17/01/2023,Nichols-Brown,Cosmetic
259800,Kelly,Bush,F,26/10/1976,168.69,14/02/2023,"Jones, Franklin and Lambert",Cosmetic
733597,David,Morgan,F,24/10/1986,58.04,22/02/2023,Mann-Mccormick,Restaurant
655471,Amy,Davis,F,19/10/2005,464.17,22/02/2023,Burke Group,Market
827843,Jacqueline,Gordon,F,27/10/1973,766.06,15/05/2023,Wu LLC,Travel
726336,David,Barber,F,01/11/1953,39.24,17/01/2023,Lopez-Gonzalez,Restaurant
7793,Linda,Pittman,F,02/11/1948,12.67,16/02/2023,Gray-Smith,Restaurant
151825,Sara,Gonzalez,M,02/11/1949,1981.24,04/10/2023,"Frey, Davis and Davis",Travel
178979,Jennifer,Villegas,M,24/10/1984,215.27,03/02/2023,Taylor-Lewis,Market
59423,Franklin,Mason,F,30/10/1962,290.5,16/05/2023,"Parsons, Ballard and Kelley",Clothing
957395,Eric,Richard,M,23/10/1988,425.61,03/09/2023,Scott Ltd,Market
187306,Michael,Acosta,,30/10/1962,226.16,01/07/2023,"Goodwin, Lopez and Skinner",Clothing
379290,Robert,Ramos,M,28/10/1970,115.83,20/07/2023,Duran-Hawkins,Clothing
508537,Whitney,Jones,,30/10/1960,147.81,09/08/2023,"Thomas, Harrell and Davenport",Market
760506,Anthony,Ball,M,28/10/1971,2471.45,04/08/2023,Richards Ltd,Travel
830134,Manuel,Mullen,M,25/10/1983,200.02,19/02/2023,"Jennings, Lopez and Lamb",Clothing
228033,George,Sullivan,M,30/10/1960,1893.84,24/09/2023,Cox-Brown,Travel
115511,Brandy,Whitehead,M,02/11/1950,265.58,25/04/2023,Nicholson-Gonzales,Clothing
857685,Todd,Hunt,M,25/10/1983,105.68,23/06/2023,"Meyer, Ryan and Conway",Market
659582,Brianna,Brown,F,21/10/1996,18.96,11/06/2023,"Ellis, Chambers and Wilson",Cosmetic
845147,Teresa,Hunter,F,01/11/1954,241.12,21/08/2023,Fernandez Group,Clothing
975406,Tabitha,Wood,,30/10/1962,2648.72,05/08/2023,Little-Solomon,Travel
216148,Sheila,Hall,M,25/10/1980,488.7,07/04/2023,Robinson-Gibson,Electronics
325243,Cory,Hernandez,F,27/10/1975,98.1,19/05/2023,"Gonzalez, Lowe and Key",Restaurant
36470,Mary,Rodriguez,F,26/10/1978,764.15,04/07/2023,"Hernandez, Johnson and Anderson",Electronics
895352,Kimberly,Smith,F,31/10/1958,82.77,24/04/2023,"Robles, Miller and Perez",Restaurant
512231,Gregory,Ortega,M,26/10/1977,193.57,04/06/2023,"Smith, Kerr and Brooks",Market
733759,Kim,Gonzalez,F,22/10/1993,593.21,22/02/2023,Hernandez LLC,Electronics
169890,Cassandra,Larson,M,31/10/1959,2585.86,30/05/2023,Martinez Inc,Travel
746742,Deborah,Johnson,F,20/10/2002,484.35,26/06/2023,Tucker-Moreno,Market
376133,Alexander,Holmes,M,30/10/1960,359.88,04/10/2023,Stout-Brock,Market
898170,Gary,Montoya,M,22/10/1993,165.96,22/04/2023,Fox Inc,Cosmetic
766756,Audrey,Ho,M,27/10/1973,52.29,13/09/2023,Davis Group,Market
559660,Ethan,Jackson,F,20/10/2002,76.07,11/07/2023,"Case, Johnson and Wells",Restaurant
523959,Julie,Nelson,M,23/10/1988,161.17,27/02/2023,"Miller, Garza and Harvey",Cosmetic
135321,Erika,Owens,M,26/10/1977,692.42,04/09/2023,Norton LLC,Electronics
956541,Jillian,Greene,F,02/11/1949,85.14,30/04/2023,Anderson-Stephens,Cosmetic
542031,Denise,Wolfe,F,01/11/1953,115.53,16/07/2023,Berry-Huerta,Market
875584,Monique,Bright,M,01/11/1954,51.63,02/09/2023,Tucker Group,Clothing
611091,Melissa,Burns,M,27/10/1975,61.23,10/08/2023,"Smith, Everett and Ellis",Restaurant
670772,Nicholas,Maynard,,02/11/1949,603.67,30/03/2023,Rodriguez Group,Electronics
527458,Edward,Pitts,M,20/10/2001,327.2,29/04/2023,Lewis Ltd,Electronics
403988,Jillian,Gonzales,M,30/10/1963,98.19,15/06/2023,"Aguirre, Thompson and Davis",Restaurant
7829,Kathleen,Carey,M,30/10/1962,18.03,16/06/2023,Gonzalez-Larson,Restaurant
99529,Claudia,Gillespie,M,23/10/1991,128.19,17/06/2023,Li-Lucas,Market
889604,Caitlyn,Dyer,F,26/10/1977,97.47,02/01/2023,Guzman Ltd,Restaurant
531316,Robert,Snyder,F,19/10/2005,537.07,24/06/2023,Williams Group,Travel
443377,Autumn,Hall,M,22/10/1994,791.56,02/01/2023,Bailey and Sons,Electronics
723676,Christopher,York,F,27/10/1975,87.06,19/02/2023,"James, West and Smith",Clothing
609070,Jesse,Dodson,M,02/11/1950,741.27,02/07/2023,Chandler-Watkins,Electronics
848726,Leslie,Walker,M,22/10/1994,527.27,21/02/2023,Green LLC,Electronics
966310,Daniel,Jenkins,M,25/10/1980,80.19,10/02/2023,Taylor-Thompson,Restaurant
618528,Benjamin,Carpenter,M,25/10/1983,14.92,04/01/2023,Owens LLC,Restaurant
696639,Brianna,Harris,M,31/10/1956,196.46,24/01/2023,Wood-Williams,Electronics
537845,Justin,Reed,,22/10/1993,424.43,02/04/2023,Nixon-Thompson,Market
202536,Alex,Bryant,F,25/10/1981,505.33,17/08/2023,Garcia and Sons,Electronics
455049,Jeremiah,Austin,F,21/10/1999,1641.29,20/06/2023,Haley-Smith,Travel
893073,Sheila,Martinez,F,31/10/1959,122.58,07/02/2023,"Romero, Woods and Flores",Cosmetic
513376,Crystal,Brown,,28/10/1971,274.06,03/10/2023,Day LLC,Clothing
6526,Joseph,Horton,F,28/10/1969,344.11,17/02/2023,"Cook, Estrada and Anderson",Market
807777,Zachary,Cooley,M,02/11/1949,83,29/03/2023,Henderson Ltd,Restaurant
557862,Michael,Miles,F,20/10/2002,2045.17,04/07/2023,Carter Group,Travel
26510,Jason,Lang,,30/10/1960,93.86,16/06/2023,"Hernandez, Smith and Molina",Market
384523,Jose,Ruiz,M,02/11/1950,265.62,22/01/2023,Stone Ltd,Electronics
491218,Angela,Harmon,,28/10/1968,91.53,31/05/2023,"Henderson, Brooks and Sanchez",Market
382546,Tristan,Gray,,19/10/2004,742.48,22/06/2023,"Powell, Spencer and Abbott",Electronics
326446,Jose,Taylor,M,01/11/1954,2260.68,05/05/2023,Alexander-Miller,Travel
124147,Felicia,Simon,F,28/10/1969,784.94,05/10/2023,"Lester, West and Walker",Travel
401596,Chelsea,King,F,21/10/1997,125.32,28/01/2023,"Cain, Ross and Sanchez",Cosmetic
469417,Kimberly,Maynard,F,02/11/1949,998,20/05/2023,"Parker, Fuller and Coleman",Electronics
66785,Kyle,Smith,F,30/10/1962,81.6,03/09/2023,Sanders-Lamb,Restaurant
616911,Glenn,Wright,F,28/10/1970,103.34,20/08/2023,Coleman LLC,Cosmetic
643778,Amber,Gonzales,F,25/10/1983,49.77,29/07/2023,Carter-Garcia,Restaurant
485816,Tamara,Wilson,M,28/10/1968,168.02,27/01/2023,Mcintosh-Snyder,Cosmetic
951432,Angela,Ross,F,29/10/1967,2028.85,02/10/2023,Heath Group,Travel
954845,Alicia,Mcintyre,M,25/10/1983,811.1,21/05/2023,Rivas-Anderson,Travel
583892,Brian,Arnold,F,21/10/1999,1343.51,05/06/2023,Le Group,Travel
88900,Joan,Snyder,M,29/10/1965,10.96,01/09/2023,Smith LLC,Cosmetic
83144,James,Kirk,F,19/10/2005,99.51,07/09/2023,Rodriguez-Nguyen,Cosmetic
736259,Paul,Wilson,M,29/10/1967,1035.32,11/03/2023,"Barnett, Price and Perkins",Travel
224307,Carlos,Hughes,M,31/10/1958,31.92,19/06/2023,Clark-Savage,Restaurant
21099,William,Santiago,M,26/10/1976,263.9,04/07/2023,Edwards-Rodgers,Market
840937,Kathryn,Little,F,24/10/1986,891.48,21/01/2023,"Dennis, Sanchez and Collins",Travel
240657,Michelle,Smith,F,20/10/2000,836.15,16/04/2023,Proctor-Davis,Electronics
110112,Deborah,Becker,M,30/10/1962,74.11,04/03/2023,Massey Inc,Restaurant
579730,Tommy,Snyder,F,23/10/1988,43.66,03/09/2023,Foster-Lopez,Market
526777,Michael,Adams,F,31/10/1956,74.03,12/01/2023,Kim LLC,Restaurant
594622,Michael,Roberts,M,20/10/2000,2560.5,05/06/2023,Wilkinson Inc,Travel
787347,Nicholas,Soto,,25/10/1980,18.65,06/08/2023,"Rogers, Flowers and Dennis",Cosmetic
439045,Derrick,Nelson,F,29/10/1965,2695.47,14/09/2023,"Lee, Mahoney and Vargas",Travel
569429,Peter,Cunningham,F,24/10/1985,66.13,03/05/2023,Robinson-Joseph,Market
701139,Paul,Gomez,,25/10/1980,243.25,28/02/2023,Vega and Sons,Clothing
134095,Frank,Hudson,F,24/10/1985,1547.47,31/05/2023,Davenport LLC,Travel
248729,Alexis,Harrell,M,26/10/1976,83.89,18/03/2023,Atkins and Sons,Cosmetic
303872,William,Medina,M,19/10/2004,2428.68,01/07/2023,"Thomas, Fisher and Young",Travel
721258,Stephanie,Stewart,F,24/10/1984,97.23,10/10/2023,Daniel PLC,Cosmetic
695579,Isaiah,Schultz,M,22/10/1993,229.6,08/09/2023,"Tran, Roberts and Coleman",Clothing
384380,Mark,Hill,M,02/11/1950,444.59,27/09/2023,"Holland, Colon and Joseph",Electronics
881230,Thomas,Shields,M,21/10/1997,113.58,10/09/2023,Jenkins Group,Cosmetic
100620,Donna,Nguyen,F,02/11/1951,18.49,18/06/2023,"Cobb, Perez and Thomas",Restaurant
